mese,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot
2024-06,170348,170348,0,0,0,0,72466,31573,64130,31573,13991,8444,3199,901,584760.0,168842.0,415918.0,2.4732144449928346,1.0,8.0,15.0,0
2024-07,236512,236512,0,0,0,0,99459,46386,87790,46386,21460,13185,4816,1186,853527.0,225002.0,628525.0,2.690200526462217,1.0,9.0,16.0,0
2024-08,218405,218405,0,0,0,0,92585,31453,93636,31453,13934,8552,3172,838,601898.0,249811.0,352087.0,1.6174968071519795,0.0,6.0,12.0,0
2024-09,234170,234170,0,0,0,0,99730,48745,82890,48745,21445,13008,4660,1188,861255.0,213864.0,647391.0,2.7981371426101616,1.0,9.0,16.0,0
2024-10,249728,249728,0,0,0,0,107342,54515,84882,54515,22429,13178,4686,1237,938577.0,219776.0,718801.0,2.913203830768545,1.0,9.0,15.0,0
2024-11,234722,234722,0,0,0,0,98543,46909,84625,46909,19738,11901,4380,1120,824436.0,229134.0,595302.0,2.5874033475749423,1.0,8.0,15.0,0
2024-12,226367,226367,0,0,0,0,97362,40507,86593,40507,16327,9568,3396,804,700663.0,230137.0,470526.0,2.096239007047964,1.0,7.0,13.0,0
2025-01,66818,66818,0,0,0,0,28792,8766,28782,8766,3283,1924,707,166,158554.0,77092.0,81462.0,1.2279469400060294,0.0,6.0,9.0,0
2025-02,228265,228265,0,0,0,0,97012,33056,95248,33056,12125,6882,2386,532,568738.0,261186.0,307552.0,1.3649807381632906,0.0,6.0,10.0,0
2025-03,247289,247289,0,0,0,0,104377,35355,102705,35355,13105,7539,2580,575,611613.0,278594.0,333019.0,1.3736310876640117,0.0,6.0,10.0,0
2025-04,243942,243942,0,0,0,0,104873,35494,101277,35494,13337,7816,2785,650,628058.0,270612.0,357446.0,1.4792256377149855,0.0,6.0,10.0,0
2025-05,258024,258024,0,0,0,0,106549,43543,98705,43543,17927,11002,4153,1013,781838.0,262491.0,519347.0,2.0874327262788537,1.0,7.0,13.0,0
2025-06,240101,240101,0,0,0,0,98471,40558,94514,40558,17327,10854,4396,1219,765135.0,250281.0,514854.0,2.20453620960594,0.0,7.0,14.0,0
2025-07,250284,250284,0,0,0,0,101428,40220,102291,40220,17095,10607,4345,1233,761201.0,274514.0,486687.0,1.9951176318669832,0.0,7.0,13.0,0
2025-08,226877,226877,0,0,0,0,92858,28511,103357,28511,11415,6949,2689,696,543545.0,294435.0,249110.0,1.1085054688821052,0.0,5.0,10.0,0
2025-09,253292,253292,0,0,0,0,104907,45069,96263,45069,18426,11076,4195,1115,801549.0,258880.0,542669.0,2.2038304249123817,1.0,7.0,13.0,0
2025-10,262637,262637,0,0,0,0,110456,47323,99367,47323,18355,10679,3994,981,816051.0,272989.0,543062.0,2.1118819658870835,1.0,7.0,12.0,0
2025-11,91,90,1,0,0,0,29,18,44,18,16,14,12,8,1546.0,163.0,1383.0,15.197802197802195,0.0,48.0,131.0,1
2025-12,77,77,0,0,0,0,21,9,47,9,5,2,2,1,206.0,197.0,9.0,0.1168831168831168,-1.0,5.400000000000006,10.600000000000009,0
2026-01,84,80,2,2,0,0,34,12,38,12,5,4,3,2,645.0,157.0,488.0,5.809523809523809,0.0,6.0,11.549999999999983,2
2026-02,102545,99078,1434,2007,26,0,45153,15882,41510,15882,6078,3519,1242,311,277612.0,112486.0,165126.0,1.6102784143546736,0.0,6.0,11.0,1460
